player_id,player_screens,codigo_soporte,screen_resolution,geolocation,latitude,longitude,address,zipcode,container_name,country,mall_name,tipo_soporte,tipo_emission,ubicacion,ID_digital,cp
97152160,2,TRACE-97152160, 1080x1920,"(-3.608608,40.56776)",40.56776,-3.608608,Calle Salvador de Madariaga,28702,TSO SSRR,SPAIN,TSO SSRR,MUPI,DIGITAL,INDOOR,97152160,28702
100935817,12,TRACE-100935817, 720x1280,"(-3.837352,43.426517)",43.426517,-3.837352,Calle Alday,39600,VALLE REAL,SPAIN,Valle Real,MUPI,DIGITAL,INDOOR,100935817,39600
105297153,12,TRACE-105297153, 720x1280,"(-4.112205,40.920738)",40.920738,-4.112205,Carretera de Madrid - Segovia,40006,LUZ DE CASTILLA,SPAIN,Luz de Castilla,MUPI,DIGITAL,INDOOR,105297153,40006
136035969,16,TRACE-136035969, 1080x1920,"(1.987472,41.283119)",41.283119,1.987472,Av. del Canal Olimpic,08860,ANEC BLAU,SPAIN,Anec Blau,MUPI,DIGITAL,INDOOR,136035969,08860
145441076,7,TRACE-145441076, 1080x1920,"(2.134147,41.3894)",41.3894,2.134147,"Avinguda Diagonal, 557",08029,ILLA DIAGONAL ,SPAIN,Illa Diagonal,MUPI,DIGITAL,INDOOR,145441076,08029
170125117,13,TRACE-170125117, 1080x1920,"(-3.708569,40.446612)",40.446612,-3.708569,"Av. de Pablo Iglesias, 17",28942,PLAZA LORANCA,SPAIN,Plaza Loranca,MUPI,DIGITAL,INDOOR,170125117,28942
170262196,2,TRACE-170262196, 1080x1920,"(-3.70379,40.416775)",40.416775,-3.70379,Paseo de la Castellana,28046,CASTELLANA 200,SPAIN,Castellana 200,MUPI,DIGITAL,INDOOR,170262196,28046
175193371,12,TRACE-175193371, 1080x1920,"(0.023608,38.818322)",38.818322,0.023608,"Av. Costa Blanca, 2, 03760 Ondara, Alicante",03760,PORTAL MARINA,SPAIN,Portal de la Marina,MUPI,DIGITAL,INDOOR,175193371,03760
175710931,1,TRACE-175710931, 720x1280,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,175710931,28906
175741736,12,TRACE-175741736, 1080x1920,"(-5.857923,37.351002)",37.351002,-5.857923,Alcalá de Guadaíra,41500,ALCORES,SPAIN,Alcores,MUPI,DIGITAL,INDOOR,175741736,41500
181234314,2,TRACE-181234314, 1080x1920,"(-8.370797,43.290645)",43.290645,-8.370797,"Av. Alvedro, 5",15180,TSO CORUÑA,SPAIN,TSO Coruña,MUPI,DIGITAL,INDOOR,181234314,15180
177120887,1,TRACE-177120887, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,177120887,28906
181220270,2,TRACE-181220270, 1080x1920,"(-8.370797,43.290645)",43.290645,-8.370797,"Av. Alvedro, 5",15189,TSO CORUÑA,SPAIN,TSO Coruña,MUPI,DIGITAL,INDOOR,181220270,15189
181247950,2,TRACE-181247950, 1080x1920,"(-8.370797,43.290645)",43.290645,-8.370797,"Av. Alvedro, 5",15189,TSO CORUÑA,SPAIN,TSO Coruña,MUPI,DIGITAL,INDOOR,181247950,15189
181425149,2,TRACE-181425149, 1080x1920,"(-8.370797,43.290645)",43.290645,-8.370797,"Av. Alvedro, 5",15189,TSO CORUÑA,SPAIN,TSO Coruña,MUPI,DIGITAL,INDOOR,181425149,15189
184210149,1,TRACE-184210149, 1080x1920,"(-3.688903,40.462906)",40.462906,-3.688903,Paseo de la Castella,28046,CASTELLANA 200,SPAIN,Castellana 200,MUPI,DIGITAL,INDOOR,184210149,28046
198613057,11,TRACE-198613057, 1080x1920,"(-3.692259,40.451431)",40.451431,-3.692259,Av. del General Perón,28020,MODA SHOPPING,SPAIN,Moda Shopping,MUPI,DIGITAL,INDOOR,198613057,28020
203184758,2,TRACE-203184758, 1080x1920,"(-3.692259,40.451431)",40.451431,-3.692259,Av. del General Perón,28020,MODA SHOPPING,SPAIN,Moda Shopping,MUPI,DIGITAL,INDOOR,203184758,28020
205043388,9,TRACE-205043388, 1080x1920,"(-4.986931,36.472706)",36.472706,-4.986931,Centro comercial el reston,28341,EL RESTON,SPAIN,El Restón,MUPI,DIGITAL,INDOOR,205043388,28341
220116423,12,TRACE-220116423, 1080x1920,"(-7.568841,43.037173)",43.037173,-7.568841,"Av. Infanta Elena, 213, 27003 Lugo",27003,AS TERMAS,SPAIN,As Termas,MUPI,DIGITAL,INDOOR,220116423,27003
255724654,2,TRACE-255724654, 720x1280,"(-3.007982,43.28759)",43.28759,-3.007982,Barrio Kareaga,48903,MAX CENTER/MAX OCIO,SPAIN,Max Center/Ocio,MUPI,DIGITAL,INDOOR,255724654,48903
259381118,28,TRACE-259381118, 1080x1920,"(2.134147,41.3894)",41.3894,2.134147,"Carrer de Sant Mateu, 9 ",08950,FINESTRELLES,SPAIN,Finestrelles,MUPI,DIGITAL,INDOOR,259381118,08950
280289788,1,TRACE-280289788, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,280289788,28906
